Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
PHL,1976-06-01,1976-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7006,June,,7.430899999000000,X
PHL,1976-07-01,1976-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7007,July,,7.429799999000000,X
PHL,1976-08-01,1976-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7008,August,,7.429699999000000,X
PHL,1976-09-01,1976-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7009,September,,7.428999999000000,X
PHL,1976-10-01,1976-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7010,October,,7.428299999000000,X
PHL,1976-11-01,1976-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7011,November,,7.428199999000000,X
PHL,1976-12-01,1976-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1976,1976,7012,December,,7.428199999000000,X
PHL,1977-01-01,1977-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7021,Annual value,,7.402824999000000,X
PHL,1977-01-01,1977-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7001,January,,7.427899999000000,X
PHL,1977-02-01,1977-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7002,February,,7.427199999000000,X
PHL,1977-03-01,1977-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7003,March,,7.426199999000000,X
PHL,1977-04-01,1977-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7004,April,,7.410899999000000,X
PHL,1977-05-01,1977-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7005,May,,7.404899999000000,X
PHL,1977-06-01,1977-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7006,June,,7.398099999000000,X
PHL,1977-07-01,1977-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7007,July,,7.396099999000000,X
PHL,1977-08-01,1977-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7008,August,,7.393999999000000,X
PHL,1977-09-01,1977-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7009,September,,7.393399999000000,X
PHL,1977-10-01,1977-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7010,October,,7.389199999000000,X
PHL,1977-11-01,1977-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7011,November,,7.386899999000000,X
PHL,1977-12-01,1977-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1977,1977,7012,December,,7.379099999000000,X
PHL,1978-01-01,1978-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7021,Annual value,,7.365758332500000,X
PHL,1978-01-01,1978-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7001,January,,7.371499999000000,X
PHL,1978-02-01,1978-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7002,February,,7.371499999000000,X
PHL,1978-03-01,1978-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7003,March,,7.373499999000000,X
PHL,1978-04-01,1978-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7004,April,,7.366799999000000,X
PHL,1978-05-01,1978-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7005,May,,7.363499999000000,X
PHL,1978-06-01,1978-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7006,June,,7.363199999000000,X
PHL,1978-07-01,1978-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7007,July,,7.360900000000000,X
PHL,1978-08-01,1978-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7008,August,,7.361699999000000,X
PHL,1978-09-01,1978-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7009,September,,7.361299999000000,X
PHL,1978-10-01,1978-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7010,October,,7.359000000000000,X
PHL,1978-11-01,1978-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7011,November,,7.364999999000000,X
PHL,1978-12-01,1978-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1978,1978,7012,December,,7.371199999000000,X
PHL,1979-01-01,1979-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7021,Annual value,,7.377549999000000,X
PHL,1979-01-01,1979-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7001,January,,7.376199999000000,X
PHL,1979-02-01,1979-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7002,February,,7.376699999000000,X
PHL,1979-03-01,1979-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7003,March,,7.377699999000000,X
PHL,1979-04-01,1979-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7004,April,,7.379599999000000,X
PHL,1979-05-01,1979-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7005,May,,7.378299999000000,X
PHL,1979-06-01,1979-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7006,June,,7.373899999000000,X
PHL,1979-07-01,1979-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7007,July,,7.370599999000000,X
PHL,1979-08-01,1979-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7008,August,,7.371699999000000,X
PHL,1979-09-01,1979-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7009,September,,7.372199999000000,X
PHL,1979-10-01,1979-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7010,October,,7.370899999000000,X
PHL,1979-11-01,1979-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7011,November,,7.371799999000000,X
PHL,1979-12-01,1979-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1979,1979,7012,December,,7.410999999000000,X
PHL,1980-01-01,1980-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7021,Annual value,,7.511433332333330,X
PHL,1980-01-01,1980-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7001,January,,7.416699999000000,X
PHL,1980-02-01,1980-02-29,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7002,February,,7.417899999000000,X
PHL,1980-03-01,1980-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7003,March,,7.425899999000000,X
PHL,1980-04-01,1980-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7004,April,,7.443399999000000,X
PHL,1980-05-01,1980-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7005,May,,7.509499999000000,X
PHL,1980-06-01,1980-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7006,June,,7.520899999000000,X
PHL,1980-07-01,1980-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7007,July,,7.543199999000000,X
PHL,1980-08-01,1980-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7008,August,,7.556199999000000,X
PHL,1980-09-01,1980-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7009,September,,7.562199999000000,X
PHL,1980-10-01,1980-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7010,October,,7.566899999000000,X
PHL,1980-11-01,1980-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7011,November,,7.580199999000000,X
PHL,1980-12-01,1980-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1980,1980,7012,December,,7.594199999000000,X
PHL,1981-01-01,1981-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7021,Annual value,,7.899649999083330,X
PHL,1981-01-01,1981-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7001,January,,7.632299999000000,X
PHL,1981-02-01,1981-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7002,February,,7.667599999000000,X
PHL,1981-03-01,1981-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7003,March,,7.730299999000000,X
PHL,1981-04-01,1981-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7004,April,,7.790399999000000,X
PHL,1981-05-01,1981-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7005,May,,7.850399999000000,X
PHL,1981-06-01,1981-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7006,June,,7.935999999000000,X
PHL,1981-07-01,1981-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7007,July,,7.949099999000000,X
PHL,1981-08-01,1981-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7008,August,,7.951599999000000,X
PHL,1981-09-01,1981-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7009,September,,7.991999999000000,X
PHL,1981-10-01,1981-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7010,October,,8.064000000000000,X
PHL,1981-11-01,1981-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7011,November,,8.100899998999999,X
PHL,1981-12-01,1981-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1981,1981,7012,December,,8.131199999000000,X
PHL,1982-01-01,1982-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7021,Annual value,,8.539999999416670,X
PHL,1982-01-01,1982-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7001,January,,8.254199999000001,X
PHL,1982-02-01,1982-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7002,February,,8.282999998999999,X
PHL,1982-03-01,1982-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7003,March,,8.340499999000000,X
PHL,1982-04-01,1982-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7004,April,,8.379199999000001,X
PHL,1982-05-01,1982-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7005,May,,8.416100000000000,X
PHL,1982-06-01,1982-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7006,June,,8.450899999000001,X
PHL,1982-07-01,1982-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7007,July,,8.487800000000000,X
PHL,1982-08-01,1982-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7008,August,,8.529299998999999,X
PHL,1982-09-01,1982-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7009,September,,8.638000000000000,X
PHL,1982-10-01,1982-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7010,October,,8.766399999000001,X
PHL,1982-11-01,1982-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7011,November,,8.875200000000000,X
PHL,1982-12-01,1982-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1982,1982,7012,December,,9.059400000000000,X
PHL,1983-01-01,1983-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7021,Annual value,,11.112716665833300,X
PHL,1983-01-01,1983-01-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7001,January,,9.286499999000000,X
PHL,1983-02-01,1983-02-28,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7002,February,,9.464399998999999,X
PHL,1983-03-01,1983-03-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7003,March,,9.605699999000000,X
PHL,1983-04-01,1983-04-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7004,April,,9.869300000000001,X
PHL,1983-05-01,1983-05-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7005,May,,10.031499998999999,X
PHL,1983-06-01,1983-06-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7006,June,,10.384499999000001,X
PHL,1983-07-01,1983-07-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7007,July,,11.001700000000000,X
PHL,1983-08-01,1983-08-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7008,August,,11.001599999000000,X
PHL,1983-09-01,1983-09-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7009,September,,11.001799998999999,X
PHL,1983-10-01,1983-10-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7010,October,,13.701599999000001,X
PHL,1983-11-01,1983-11-30,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7011,November,,14.001999999000001,X
PHL,1983-12-01,1983-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1983,1983,7012,December,,14.001999999000001,X
PHL,1984-01-01,1984-12-31,171,'608,Philippines,LCU,Local currency units per USD,PHP,Philippine Peso,1984,1984,7021,Annual value,,16.698708332916699,X
